,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning
43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,None,Architectural,No,1.2,Anytime
44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.0,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning
45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0,Yes,None,Religious,Yes,0.82,Morning
46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1.0,4.4,0,Yes,None,Religious,Yes,0.5,Morning
47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3.0,4.1,2500,Yes,None,Sports,Yes,0.1,All
48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2.0,4.3,25,Yes,None,Wildlife,Yes,0.66,Afternoon
49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3.0,4.4,60,Yes,None,Educational,Yes,0.88,All
50,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,None,Religious,Yes,0.47,Morning
51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1.0,4.4,0,Yes,None,Historical,Yes,0.1,Afternoon
52,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2.0,4.4,0,Yes,None,Scenic,Yes,0.26,Evening
53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1.0,4.5,0,Yes,None,Historical,Yes,0.59,Afternoon
54,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,None,Historical,Yes,0.95,Morning
55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3.0,4.6,500,Yes,None,Nature,Yes,0.3,Afternoon
56,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2.0,4.4,0,Yes,None,Scenic,Yes,0.18,Evening
57,Southern,Goa,Goa,Chapora Fort,Fort,1617,1.0,4.2,0,Yes,None,Historical,Yes,0.19,Evening
58,Southern,Goa,Goa,Se Cathedral,Church,1640,1.0,4.5,0,Yes,None,Historical,Yes,0.05,Afternoon
59,Southern,Goa,Goa,Baga Beach,Beach,Unknown,2.0,4.5,0,Yes,None,Scenic,Yes,0.35,Evening
60,Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2.0,4.6,0,Yes,None,Scenic,Yes,0.1,Evening
61,Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2.0,4.6,0,Yes,None,Scenic,Yes,0.27,Evening
62,Southern,Goa,Goa,Colva Beach,Beach,Unknown,2.0,4.3,0,Yes,None,Scenic,Yes,0.1,Evening
63,Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Scenic,Yes,0.3,Evening
64,Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2.0,4.5,0,Yes,None,Scenic,Yes,0.01,Evening
65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2.0,3.9,10,Yes,None,Wildlife,Yes,0.03,Afternoon
66,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,None,Historical,Yes,0.35,Morning
67,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2.0,4.7,0,No,None,Religious,No,0.59,Evening
68,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3.0,4.5,3500,No,None,Wildlife,Yes,0.08,Morning
69,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,None,Nature,Yes,0.12,Evening
70,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2.0,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon
71,Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2.0,4.8,0,No,None,Religious,No,0.39,Morning
72,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3.0,4.9,7500,Yes,None,Cultural,Yes,0.1,Evening
73,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3.0,4.6,350,No,Monday,Historical,Yes,0.67,All
74,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,None,Historical,Yes,0.05,All
75,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1.0,4.6,0,Yes,None,Recreational,Yes,0.1,Evening
76,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2.0,4.4,0,Yes,None,Food,Yes,0.49,Night
77,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3.0,4.5,10,Yes,None,Recreational,Yes,0.3,Afternoon
78,Western,Gujarat,Ahmedabad,Science City,Science,2002,7.0,4.4,500,Yes,Monday,Educational,Yes,0.11,All
79,Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1.0,4.4,50,Yes,None,Architectural,Yes,1.3,Morning
80,Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2.0,4.4,300,Yes,None,Historical,Yes,0.51,All
81,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,None,Historical,Yes,0.56,All
82,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3.0,4.6,500,No,None,Wildlife,Yes,0.09,All
83,Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,No,None,Religious,Yes,1.6,All
84,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1.0,4.6,0,Yes,None,Religious,No,0.35,All
85,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2.0,4.6,100,Yes,None,Historical,Yes,0.64,All
86,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2.0,4.6,40,No,None,Historical,Yes,1.9,All
87,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1.0,4.6,0,No,None,Religious,No,0.05,All
88,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2.0,4.5,50,Yes,None,Historical,Yes,0.32,All
89,Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2.0,4.6,100,Yes,None,Historical,Yes,1.5,All
90,Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,Yes,None,Historical,Yes,0.3,All
91,Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1.0,4.6,0,Yes,None,Nature,Yes,0.5,All
92,Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,Yes,None,Spiritual,Yes,1.9,All
93,Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1.0,4.8,0,Yes,None,Historical,Yes,0.3,Afternoon
94,Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2.0,4.8,0,Yes,None,Cultural,Yes,0.17,Evening
95,Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2.0,4.5,30,Yes,None,Artistic,Yes,0.5,All
96,Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,4.5,0,Yes,None,Recreational,Yes,0.11,All
97,Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2.0,4.3,0,No,None,Nature,Yes,0.3,All
98,Southern,Kerala,Kochi,Fort Kochi,Site,1503,1.0,4.4,0,Yes,None,Historical,Yes,0.1,All
99,Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1.0,4.7,0,Yes,None,Religious,No,0.46,All
100,Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,3.9,0,Yes,None,Recreational,Yes,0.059,All
101,Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,Unknown,3.0,4.5,300,No,None,Wildlife,Yes,2.2,All
102,Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3.0,4.3,50,No,None,Wildlife,Yes,0.14,All
103,Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2.0,3.8,50,Yes,None,Wildlife,Yes,0.1,All
104,Southern,Kerala,Varkala,Varkala Beach,Beach,Unknown,2.0,4.6,0,Yes,None,Recreational,Yes,0.1,All
105,Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,20,No,None,Historical,Yes,0.22,All
106,Southern,Kerala,Kovalam,Kovalam Beach,Beach,Unknown,2.0,4.4,0,Yes,None,Recreational,Yes,0.68,All
107,Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1.0,4.4,20,Yes,None,Historical,Yes,0.11,All
108,Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,Unknown,1.0,4.5,0,No,None,Nature,Yes,0.03,Morning
109,Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,Yes,Monday,Cultural,Yes,0.1,All
110,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,Yes,None,Entertainment,Yes,0.41,All
111,Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2.0,4.6,50,Yes,None,Historical,Yes,2.5,All
112,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3.0,4.7,0,No,None,Historical,Yes,0.05,All
113,Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1.0,4.1,0,No,None,Nature,Yes,0.03,Morning
114,Southern,Karnataka,Gokarna,Om Beach,Beach,Unknown,2.0,4.5,0,No,None,Nature,Yes,0.09,All
115,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3.0,4.5,0,No,None,Nature,Yes,0.05,All
116,Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,No,None,Religious,No,0.2,All
117,Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,No,None,Nature,Yes,0.23,Morning
118,Southern,Karnataka,Mangalore,Panambur Beach,Beach,Unknown,1.5,4.5,0,Yes,None,Recreational,Yes,0.1,All
119,Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1.0,4.7,0,Yes,None,Religious,No,0.49,All
120,Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,No,None,Historical,Yes,0.25,All
121,Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3.0,4.4,300,No,None,Wildlife,Yes,0.15,Morning
122,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1.0,4.7,15,No,None,Religious,No,0.11,All
123,Western,Maharastra,Pune,Shaniwar Wada,Fort,1732,2.0,4.4,50,Yes,None,Historical,Yes,1.2,All
124,Western,Maharastra,Aurangabad,Ajanta Caves,Cave,200,3.0,4.6,30,Yes,Monday,Historical,Yes,0.21,Afternoon
125,Western,Maharastra,Nashik,Sula Vineyards,Vineyard,1999,2.0,4.1,300,Yes,None,Recreational,Yes,0.1,Afternoon
126,Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,None,Religious,No,0.69,All
127,Western,Maharastra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Recreational,Yes,0.05,Evening
128,Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1600,1.0,4.7,0,No,None,Religious,No,0.1,All
129,Western,Maharastra,Nagpur,Deekshabhoomi,Monument,2001,1.0,4.5,0,Yes,None,Religious,Yes,0.11,Afternoon
130,Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,700,1.0,4.8,0,Yes,None,Religious,No,0.9,All
131,Western,Maharastra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Yes,Historical,Yes,0.27,Afternoon
132,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Unknown,2.0,4.6,0,No,None,Recreational,Yes,0.065,Evening
133,Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2.0,4.4,300,No,None,Nature,Yes,0.05,Afternoon
134,Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,Yes,None,Nature,Yes,0.02,Morning
135,Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3.0,4.7,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon
136,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2.0,4.7,40,No,None,Cultural,Yes,0.09,Afternoon
137,Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,Yes,None,Historical,Yes,0.01,Afternoon
138,Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1.0,4.4,10,Yes,None,Historical,Yes,0.63,Afternoon
139,Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,Yes,None,Historical,Yes,0.4,Morning
140,Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,Yes,None,Religious,No,1.2,All
141,Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Unknown,1.0,4.5,0,No,None,Nature,Yes,0.01,Morning
142,Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,Unknown,1.5,4.6,15,No,None,Nature,Yes,0.065,Morning
143,Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3.0,4.5,100,No,None,Wildlife,Yes,0.1,Morning
144,Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3.0,4.5,50,No,None,Wildlife,Yes,0.05,Morning
145,Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,No,None,Historical,Yes,0.1,Afternoon
146,Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1.0,3.9,50,No,None,Historical,Yes,0.03,Afternoon
147,Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2.0,4.6,25,No,None,Archaeological,Yes,0.07,Afternoon
148,Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1.0,4.4,0,No,None,Religious,Yes,0.01,All
149,Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,Unknown,1.5,4.4,0,No,None,Nature,Yes,0.1,Morning
150,Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,Unknown,1.0,4.7,0,Yes,None,Recreational,Yes,0.03,Morning
151,Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2.0,4.1,0,No,None,Adventure,Yes,0.05,Morning
152,Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,4.7,0,Yes,None,Religious,No,0.15,All
153,Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,Unknown,1.5,4.5,0,No,None,Nature,Yes,0.1,Morning
154,Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1100,1.0,4.8,0,No,None,Religious,Yes,0.025,Morning
155,Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3.0,4.5,50,No,None,Wildlife,Yes,0.2,All
156,Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,Unknown,2.0,4.4,0,No,None,Recreational,Yes,0.01,Morning
157,Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,Unknown,2.0,4.5,0,No,None,Nature,Yes,0.01,Morning
158,Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2.0,4.4,150,Yes,None,Historical,Yes,0.1,All
159,Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,1.5,4.6,0,Yes,None,Agricultural,Yes,0.015,Morning
160,Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1400,1.5,4.6,0,No,None,Nature,Yes,0.01,Morning
161,Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2005,2.0,4.8,2500,No,None,Adventure,Yes,0.01,All
162,Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,Unknown,5.0,4.8,0,Yes,None,Adventure,Yes,0.01,Morning
163,Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1980,1.0,4.6,0,No,None,Religious,Yes,1.3,Morning
164,Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,Unknown,2.0,4.5,0,Yes,None,Nature,Yes,1.1,All
165,Northern,Himachal Pradesh,Barot,Barot Valley,Valley,Unknown,2.0,4.7,0,No,None,Nature,Yes,1.2,Morning
166,Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,Unknown,2.5,4.4,0,No,None,Nature,Yes,0.9,Morning
167,Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1975,5.0,3.8,1500,Yes,None,Recreational,Yes,0.1,All
168,Northern,Uttarakhand,Nainital,Naini Lake,Lake,Unknown,1.5,4.2,0,Yes,None,Nature,Yes,0.01,Morning
169,Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1939,1.0,4.4,0,Yes,None,Cultural,Yes,0.03,Morning
170,Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,Unknown,1.0,4.5,0,Yes,None,Religious,Yes,0.025,All
171,Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,Unknown,1.5,4.5,25,Yes,None,Nature,Yes,0.01,Morning
172,Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,Unknown,1.5,4.2,15,Yes,None,Nature,Yes,0.55,Morning
173,Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,1990,3.0,4.5,0,No,None,Adventure,Yes,0.01,Morning
174,Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,-820,1.0,4.8,0,No,None,Religious,No,0.29,All
175,Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,1988,2.0,4.3,150,No,None,Wildlife,Yes,0.01,All
176,Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1868,1.0,4.0,50,No,None,Recreational,Yes,0.025,All
177,Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,1936,3.0,4.4,100,Yes,None,Wildlife,Yes,0.3,All
178,Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1751,1.0,4.8,0,No,None,Religious,No,0.05,All
179,Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,751,2.0,4.8,0,No,None,Religious,No,0.09,All
180,Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,1982,5.0,4.7,150,No,None,Nature,Yes,0.035,Morning
181,Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,1632,2.0,4.6,50,Yes,Friday,Historical,Yes,2.25,Morning
182,Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,Unknown,1.0,4.7,0,Yes,None,Religious,No,0.9,All
183,Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1784,1.5,4.4,50,Yes,Monday,Historical,No,0.45,All
184,Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,Unknown,1.0,4.7,0,Yes,None,Religious,No,0.13,All
185,Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,Unknown,1.0,4.8,0,Yes,None,Religious,No,0.025,All
186,Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1864,1.0,4.8,0,Yes,None,Religious,No,0.37,All
187,Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,Unknown,1.0,4.5,0,Yes,None,Religious,Yes,0.09,Morning
188,Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1613,1.5,4.4,15,Yes,None,Historical,Yes,0.25,All
189,Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,-500,1.0,4.6,5,Yes,None,Historical,Yes,0.065,All
190,Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,1571,2.0,4.4,40,Yes,None,Historical,Yes,0.07,Afternoon
191,Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,1.5,4.3,30,Yes,None,Wildlife,Yes,0.035,All
192,Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1524,1.0,4.1,20,Yes,None,Historical,Yes,0.0165,Afternoon
193,Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,Unknown,1.0,4.8,0,Yes,None,Religious,No,0.045,All
194,Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,1971,2.0,4.2,150,Yes,Monday,Wildlife,Yes,0.21,All
195,Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,Unknown,2.0,4.6,0,Yes,None,Nature,Yes,0.15,Morning
196,Northern,Ladakh,Leh,Pangong Tso,Lake,Unknown,2.0,4.9,20,Yes,None,Nature,Yes,0.15,Morning
197,Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,Unknown,2.0,4.6,100,No,None,Nature,Yes,0.11,All
198,Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,Unknown,5.0,4.7,0,Yes,None,Religious,No,0.55,All
199,Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,Unknown,2.0,4.1,0,No,None,Recreational,Yes,0.01,All
200,Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,Unknown,6.0,4.5,0,No,None,Religious,Yes,0.11,All
201,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,20,Yes,None,Religious,No,0.05,All
202,Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,Unknown,2.0,4.5,0,No,None,Nature,Yes,0.1,All
